"DNI, NOMBRES, APELLIDO, TIPO, CORREO, PASSWORD, AREA"
"76706423, ""Angelica"", ""Carrasco Berrocal"",  administrador, angelica.carrasco@gmail.com, ""Marketing"""
"78935978, ""Pedro"", ""Sanchez Villazar"", administrador, pedro.sanchez@gmail.com, ""Marketing"""
"75534800, ""Juan"", ""Garcia Caceres"", administrador, juan.garcia@gmail.com, ""Logistica"""
"74336010, ""Milagros"", ""Quispe Caceres"", administrador, milagros.quispe@gmail.com, ""Ventas"""
"74972868, ""Elisa"", ""Perez Mamani"", administrador, elisa.perez@gmail.com, ""Logistica"""
"72486817, ""Cesar"", ""Celi Romero"", administrador, cesar.celi@gmail.com, ""Ventas"""
"75069803, ""Delia"", ""Abad Villoslada"", administrador, delia.abad@gmail.com, ""Finanzas"""
"74293289, ""Sarahi"", ""Escobedo Quispe"", administrador, sarahi.escobedo@gmail.com, ""Ventas"""
"78959485, ""Pablo"", ""Flores Zapata"", administrador, pablo.flores@gmail.com, ""Ventas"""
"79862721, ""Hugo"", ""Tejada Quispe"", administrador, hugo.tejada@gmail.com, ""Marketing"""
"81726870, ""Esmeralda"", ""Mendoza Cruz"", administrador, esmeralda.mendoza@gmail.com, ""Ventas"""
"83591019, ""Xiomara"", ""Cruz Fernandez"", administrador, xiomara.cruz@gmail.com, ""Ventas"""
"85455168, ""Dario"", ""Murillo Cruz"", administrador, dario.murillo@gmail.com, ""Finanzas"""
"87319317, ""Nelson"", ""Vasquez Cruz"", administrador, nelson.vasquez@gmail.com, ""Finanzas"""
"89183466, ""Flor"", ""Oscco Cruz"", administrador, flor.oscco@gmail.com, ""Logistica"""
"91047615, ""Edwin"", ""Morales Ugarte"", administrador, edwin.morales@gmail.com, ""Finanzas"""
"92911764, ""Daniela"", ""Ugarte Chavez"", administrador, daniela.ugarte@gmail.com, ""Marketing"""
"94775913, ""Sahara"", ""Quispe Rosales"", administrador, sahara.quispe@gmail.com, ""Logistica"""
"96640062, ""Silvio"", ""Corrales Fausto"", administrador, silvio.corrales@gmail.com, ""Ventas"""
"98504211, ""Fatima"", ""Riveiro Meza"", administrador, fatima,riveiro@gmail.com, ""Ventas"""
"70771862, ""Walter"", ""Gonzaga Cruz"", administrador, walter.gonzaga@gmail.com, ""Logistica"""
"78278211, ""Shirley"", ""Mendoza Alvites"", administrador, shirley.mendoza@gmail.com, ""IT"""
"70984996, ""Oscar"", ""Pozo Alva"", administrador, oscar.pozo@gmail.com, ""IT"""
"76542094, ""Andrea"", ""Casanova Alvites"", administrador, andrea.casanova@gmail.com, ""IT"""
"76802692, ""Kaleb"", ""Zegarra Paredes"", administrador, kaleb.zegarra@gmail.com, ""IT"""
"76954348, ""Camila"", ""Perez Alvites"", administrador, camila.perez@gmail.com, ""IT"""
"73828751, ""Roxina"", ""Gomez Alvites"", administrador, roxina.gomez@gmail.com, ""IT"""
"76372939, ""Ariana"", ""Vilca Suarez"", administrador, ariana.vilca@gmail.com, ""IT"""
"74966770, ""David"", ""Juarez Alvites"", administrador, david.juarez@gmail.com, ""IT"""
"74715450, ""Antonio"", ""Lopez Guterrez"", administrador, antonio.lopez@gmail.com, ""IT"""
